Species,Scientific.name,Woodland.community,Localised,Structure,Component,Level,Key.indicators,NVC.association
Sessile oak,Quercus petraea,Acidic Upland,,Grove,Major,Canopy,TRUE,W11; W17
Downy birch,Betula pubescens,Acidic Upland,,Grove,Minor,Canopy,TRUE,W11; W17; W18
Hazel,Corylus avellana,Acidic Upland,,Grove,,Canopy,TRUE,W11
Holly,,Acidic Upland,,Grove,,Canopy,,W17
Scots pine,,Acidic Upland,TRUE,Grove,,Canopy,,W18
Small-leaved lime,,Acidic Upland,TRUE,Grove,,Canopy,,
Bluebell,,Acidic Upland,,Grove,,Field layer,,
Wood sorrel,,Acidic Upland,,Grove,,Field layer,,
Wood anemone,,Acidic Upland,,Grove,,Field layer,,
Honeysuckle,,Acidic Upland,,Grove,,Field layer,,
Bugle,,Acidic Upland,,Grove,,Field layer,,
Yellow pimpernel,,Acidic Upland,,Grove,,Field layer,,
Ivy,,Acidic Upland,,Grove,,Field layer,,
Creeping soft grass,,Acidic Upland,,Grove,,Field layer,,
Bilberry,,Acidic Upland,,Grove,,Field layer,,
Scaly male fern,,Acidic Upland,,Grove,,Field layer,,
Male fern,,Acidic Upland,,Grove,,Field layer,,
Broad buckler fern,,Acidic Upland,,Grove,,Field layer,,
Hard fern,,Acidic Upland,,Grove,,Field layer,,
Sessile oak,,Acidic Upland,,Open wooded habitat,Major,Canopy,,W11; W17
Downy birch,,Acidic Upland,,Open wooded habitat,Major; Minor,Canopy,,W11; W17; W18
Hawthorn,,Acidic Upland,,Open wooded habitat,,Canopy,,
Rowan,,Acidic Upland,,Open wooded habitat,,Canopy,TRUE,W11; W17; W18
Holly,,Acidic Upland,,Open wooded habitat,,Canopy,,
Aspen,,Acidic Upland,,Open wooded habitat,,Canopy,,
Hazel,,Acidic Upland,,Open wooded habitat,,Canopy,,
Goat willow,,Acidic Upland,,Open wooded habitat,,Canopy,,
Grey willow,,Acidic Upland,,Open wooded habitat,,Canopy,,
Bird cherry,,Acidic Upland,TRUE,Open wooded habitat,,Canopy,,
Scots pine,,Acidic Upland,TRUE,Open wooded habitat,,Canopy,,
Small-leaved lime,,Acidic Upland,TRUE,Open wooded habitat,,Canopy,,
Pignut,,Acidic Upland,,Open wooded habitat,,Field layer,,
Common dog violet,,Acidic Upland,,Open wooded habitat,,Field layer,,
Betony,,Acidic Upland,,Open wooded habitat,,Field layer,,
Bitter vetch,,Acidic Upland,,Open wooded habitat,,Field layer,,
Honeysuckle,,Acidic Upland,,Open wooded habitat,,Field layer,,
Bluebell,,Acidic Upland,,Open wooded habitat,,Field layer,,
Raspberry,,Acidic Upland,,Open wooded habitat,,Field layer,,
Slender St. John's wort,,Acidic Upland,,Open wooded habitat,,Field layer,,
Heather,,Acidic Upland,,Open wooded habitat,,Field layer,,
Bilberry,,Acidic Upland,,Open wooded habitat,,Field layer,,
Cowberry,,Acidic Upland,,Open wooded habitat,,Field layer,,
Chickweed wintergreen,,Acidic Upland,,Open wooded habitat,,Field layer,,
Goldenrod,,Acidic Upland,,Open wooded habitat,,Field layer,,
Heath cudweed,,Acidic Upland,,Open wooded habitat,,Field layer,,
Foxglove,,Acidic Upland,,Open wooded habitat,,Field layer,,
Heath speedwell,,Acidic Upland,,Open wooded habitat,,Field layer,,
Common cow wheat,,Acidic Upland,,Open wooded habitat,,Field layer,,
Climbing corydalis,,Acidic Upland,,Open wooded habitat,,Field layer,,
Greater stitchwort,,Acidic Upland,,Open wooded habitat,,Field layer,,
Red campion,,Acidic Upland,,Open wooded habitat,,Field layer,,
Broom,,Acidic Upland,,Open wooded habitat,,Field layer,,
Wild roses,,Acidic Upland,,Open wooded habitat,,Field layer,,
Brambles,,Acidic Upland,,Open wooded habitat,,Field layer,,
Greater wood rush,,Acidic Upland,,Open wooded habitat,,Field layer,,
Hairy wood rush,,Acidic Upland,,Open wooded habitat,,Field layer,,
Wavy hair grass,Deschampsia flexuosa,Acidic Upland,,Open wooded habitat,,Field layer,,
Tufted hair grass,,Acidic Upland,,Open wooded habitat,,Field layer,,
Bracken,,Acidic Upland,,Open wooded habitat,,Field layer,,
Hawthorn,,Acidic Upland,,Glade,,Canopy,,
Rowan,,Acidic Upland,,Glade,,Canopy,,W11; W17; W18
Holly,,Acidic Upland,,Glade,,Canopy,,
Sessile oak,,Acidic Upland,,Glade,Major,Canopy,,
Downy birch,,Acidic Upland,,Glade,Major; Minor,Canopy,,
Aspen,,Acidic Upland,,Glade,,Canopy,,
Hazel,,Acidic Upland,,Glade,,Canopy,,
Goat willow,,Acidic Upland,,Glade,,Canopy,,
Grey willow,,Acidic Upland,,Glade,,Canopy,,
Bird cherry,,Acidic Upland,TRUE,Glade,,Canopy,,
Juniper,,Acidic Upland,TRUE,Glade,,Canopy,,W18
Scots pine,,Acidic Upland,TRUE,Glade,,Canopy,,W18
Heath bedstraw,,Acidic Upland,,Glade,,Field layer,,
Tormentil,,Acidic Upland,,Glade,,Field layer,,
Heather,Calluna vulgaris; Erica cinerea,Acidic Upland,,Glade,,Field layer,TRUE,W18
Bilberry,Vaccinium myrtillus,Acidic Upland,,Glade,,Field layer,TRUE,W18
Gorse,,Acidic Upland,,Glade,,Field layer,,
Wild roses,,Acidic Upland,,Glade,,Field layer,,
Heath speedwell,,Acidic Upland,,Glade,,Field layer,,
Mat grass,,Acidic Upland,,Glade,,Field layer,,
Sheep's sorrel,,Acidic Upland,,Glade,,Field layer,,
Betony,,Acidic Upland,,Glade,,Field layer,,
Bird's-foot trefoil,,Acidic Upland,,Glade,,Field layer,,
Crowberry,Empetrum nigrum,Acidic Upland,,Glade,,Field layer,,
Changing forget-me-not,,Acidic Upland,,Glade,,Field layer,,
Bitter vetch,,Acidic Upland,,Glade,,Field layer,,
Common dog violet,,Acidic Upland,,Glade,,Field layer,,
Harebell,,Acidic Upland,,Glade,,Field layer,,
Sheep's fescue,,Acidic Upland,,Glade,,Field layer,,
Common bent grass,,Acidic Upland,,Glade,,Field layer,,
Wavy hair grass,Deschampsia flexuosa,Acidic Upland,,Glade,,Field layer,,
Sweet vernal grass,,Acidic Upland,,Glade,,Field layer,,
Early hair grass,,Acidic Upland,,Glade,,Field layer,,
Cladonia lichens,,Acidic Upland,,Glade,,Field layer,,
Ash,,Base-rich Upland,,Grove,Major,Canopy,TRUE,W8; W9
Wych elm,,Base-rich Upland,,Grove,Minor,Canopy,,
Downy birch,,Base-rich Upland,,Grove,,Canopy,TRUE,
Silver birch,,Base-rich Upland,TRUE,Grove,,Canopy,,
Aspen,,Base-rich Upland,,Grove,,Canopy,,
Pendunculate oak,,Base-rich Upland,TRUE,Grove,Minor,Canopy,,
Small-leaved lime,,Base-rich Upland,TRUE,Grove,,Canopy,,
Sessile oak,,Base-rich Upland,,Grove,Minor,Canopy,,
Hazel,,Base-rich Upland,,Grove,,Canopy,,
Holly,,Base-rich Upland,,Grove,,Canopy,,
Yew,,Base-rich Upland,TRUE,Grove,,Canopy,,
Dogs mercury,,Base-rich Upland,,Grove,,Field layer,,
Wood sorrel,,Base-rich Upland,,Grove,,Field layer,,
Enchanter's nightshade,,Base-rich Upland,,Grove,,Field layer,,
Bluebell,,Base-rich Upland,,Grove,,Field layer,,
Sanicle,,Base-rich Upland,,Grove,,Field layer,,
Herb-robert,,Base-rich Upland,,Grove,,Field layer,,
Woodruff,,Base-rich Upland,,Grove,,Field layer,,
Toothwort,,Base-rich Upland,,Grove,,Field layer,,
Common dog violet,,Base-rich Upland,,Grove,,Field layer,,
Wood sedge,,Base-rich Upland,,Grove,,Field layer,,
Ivy,,Base-rich Upland,,Grove,,Field layer,,
Wood avens,,Base-rich Upland,,Grove,,Field layer,,
Wood anemone,,Base-rich Upland,,Grove,,Field layer,,
Wood melick grass,,Base-rich Upland,,Grove,,Field layer,,
Broad buckler fern,,Base-rich Upland,,Grove,,Field layer,,
Scaly male fern,,Base-rich Upland,,Grove,,Field layer,,
Male fern,,Base-rich Upland,,Grove,,Field layer,,
Lady fern,,Base-rich Upland,,Grove,,Field layer,,
Ash,,Base-rich Upland,,Open wooded habitat,Major,Canopy,,
Wych elm,,Base-rich Upland,,Open wooded habitat,Minor,Canopy,,
Downy birch,,Base-rich Upland,,Open wooded habitat,,Canopy,,
Silver birch,,Base-rich Upland,TRUE,Open wooded habitat,,Canopy,,
Aspen,,Base-rich Upland,,Open wooded habitat,,Canopy,,
Rowan,,Base-rich Upland,,Open wooded habitat,,Canopy,,
Bird cherry,,Base-rich Upland,TRUE,Open wooded habitat,,Canopy,,
